price,area,location,property_type,bedroom,latitude,longitude
7500000,607,Thane,Apartment,1,19.21686745,72.9930954
16500000,1050,Powai,Apartment,2,19.11909866,72.89984131
13000000,900,Thane,Apartment,2,19.21450233,72.97677612
11500000,900,Koper Khairane,Apartment,2,19.10633659,73.01086426
11800000,709,Thane,Apartment,2,19.2238369,72.99047852
9700000,1054,Mira Road,Apartment,2,19.27293587,72.88097382
3000000,590,Nala Sopara,Apartment,1,19.43198586,72.81169128
22000000,1235,Ghansoli,Apartment,2,19.11900902,73.00673676
20000000,1300,Koper Khairane,Apartment,3,19.09330177,73.01537323
18500000,1150,Vashi,Apartment,2,19.06424141,73.00158691
12000000,650,Mulund,Apartment,1,19.16368484,72.95683289
9258968,950,Mira Road,Apartment,2,19.28604317,72.87023163
9245864,1050,Mira Road,Apartment,2,19.28087616,72.87459564
16000000,1400,Thane,Apartment,3,19.21686745,72.9930954
32800000,1040,Kandivali,Apartment,3,19.20620918,72.87017822
12000000,1100,Kharghar,Apartment,2,19.07083893,73.07873535
6200000,650,Kharghar,Apartment,1,19.04265976,73.06473541
11300000,1200,Mira Road,Apartment,2,19.28684807,72.87327576
4987500,895,Vasai,Apartment,2,19.38308907,72.87561798
7600000,710,Mira Road,Apartment,1,19.29859543,72.87253571
4270000,945,Andheri,Apartment,2,19.19995499,73.1866684
57000000,2022,Chembur,Apartment,4,19.05871391,72.90290833
23000000,965,Kandivali,Apartment,2,19.21030617,72.86837769
51000000,1564,Kandivali,Apartment,4,19.21030617,72.86837769
34000000,1100,Borivali,Apartment,3,19.23183441,72.84420776
44000000,1545,Kandivali,Apartment,4,19.20649529,72.87693787
19500000,950,Borivali,Apartment,2,19.22984314,72.8420639
35000000,1250,Borivali,Apartment,3,19.22982216,72.84204102
8700000,1000,Thane,Apartment,1,19.25841713,72.98527527
7500000,875,Bhayandar,Apartment,2,19.30128479,72.84638977
19200000,1000,Thane,Apartment,2,19.2564106,72.99015045
6700000,750,Mira Road,Apartment,1,19.27293587,72.88097382
89300000,2982,Chembur,Apartment,4,19.04581451,72.89766693
9000000,1120,Kharghar,Apartment,2,19.0358963,73.07273102
4590000,900,Ambernath,Apartment,2,19.20701027,73.18536377
4552000,900,Ambernath,Apartment,2,19.20713806,73.18493652
38000000,1260,Andheri,Apartment,3,19.11686325,72.86997986
15000000,1150,Koper Khairane,Apartment,2,19.09801865,72.99897003
9700000,625,Kandivali,Apartment,1,19.21387863,72.83223724
3400000,605,Vasai,Apartment,1,19.39484024,72.84843445
30000000,1000,Andheri,Apartment,2,19.13910484,72.80826569
21800000,950,Jogeshwari,Apartment,2,19.12825966,72.84303284
3700000,890,Badlapur,Apartment,1,19.16975784,73.22491455
2600000,638,Badlapur,Apartment,1,19.15452957,73.23560333
