price,status,area,price_per_sqft,property_type,locality,builder_name,rera_approval,bhk,society,company_name,flat_type,price_cr,price_segment,area_segment
9591000.0,Under Construction,1368,7010,2 Bhk Apartment In Shapoorji Pallonji Joyville,Sector 102,Mikasa Homes,Approved By Rera,2,Shapoorji Pallonji Joyville,Shapoorji,Apartment,0.96,Affordable,Medium
18800000.0,Ready to Move,2215,8500,3 Bhk Apartment In Tata Gurgaon Gateway,Sector 112,Gurgaon Realtors,Not Approved By Rera,3,Tata Gurgaon Gateway,Tata,Apartment,1.88,Mid Range,Large
9458000.0,Under Construction,1389,6809,3 Bhk Apartment In Hero Homes Gurgaon,Sector 104,Key Homes Reality,Approved By Rera,3,Hero Homes Gurgaon,Hero,Apartment,0.95,Affordable,Medium
12200000.0,Ready to Move,1617,7544,2 Bhk Apartment In Godrej Icon,Sector 88A,Growmax Wealth Management Services,Not Approved By Rera,2,Godrej Icon,Godrej,Apartment,1.22,Mid Range,Medium
5300000.0,Ready to Move,1628,3255,3 Bhk Apartment In Sare Crescent Parc,Sector-92 Gurgaon,Growmax Wealth Management Services,Not Approved By Rera,3,Sare Crescent Parc,Sare,Apartment,0.53,Affordable,Medium
4900000.0,Ready to Move,1190,4117,3 Bhk Apartment In Sare Crescent Parc,Sector-92 Gurgaon,Growmax Wealth Management Services,Not Approved By Rera,3,Sare Crescent Parc,Sare,Apartment,0.49,Affordable,Medium
4300000.0,Ready to Move,1004,4282,2 Bhk Apartment In Sare Crescent Parc,Sector-92 Gurgaon,Home,Not Approved By Rera,2,Sare Crescent Parc,Sare,Apartment,0.43,Affordable,Medium
28300000.0,Under Construction,2720,10404,4 Bhk Apartment In Godrej Meridien,Sector 106,Property In Gurgaon,Approved By Rera,4,Godrej Meridien,Godrej,Apartment,2.83,Premium,Large
4300000.0,Ready to Move,768,5598,2 Bhk Apartment In Pyramid Urban 67A,Sector 67,Properties For Sale In Gurgaon,Not Approved By Rera,2,Pyramid Urban 67A,Pyramid,Apartment,0.43,Affordable,Compact
7486000.0,Under Construction,1099,6811,2 Bhk Apartment In Hero Homes Gurgaon,Sector 104,Group 3 Realtors,Approved By Rera,2,Hero Homes Gurgaon,Hero,Apartment,0.75,Affordable,Medium
3500000.0,Ready to Move,810,4320,2 Bhk Independent House In  16 Acres,Maruti Kunj,Karshni Buildwell,Not Approved By Rera,2,16 Acres,16,House,0.35,Affordable,Compact
2600000.0,Under Construction,638,4076,3 Bhk Apartment In Signature Global Golf Green Sector 79 Gurgaon,Sector 79,Jitender,Not Approved By Rera,3,Signature Global Golf Green Sector 79 Gurgaon,Signature,Apartment,0.26,Affordable,Compact
2580000.0,Under Construction,633,4076,3 Bhk Apartment In Signature Global Builders Golf Greens Sector 79 Gurgaon,Sector 79,Karshni Buildwell,Not Approved By Rera,3,Signature Global Builders Golf Greens Sector 79 Gurgaon,Signature,Apartment,0.26,Affordable,Compact
1453000.0,Under Construction,356,4082,1 Bhk Apartment In Signature Global Builders Golf Greens Sector 79 Gurgaon,Sector 79,Rajkrit Real Estate,Not Approved By Rera,1,Signature Global Builders Golf Greens Sector 79 Gurgaon,Signature,Apartment,0.15,Affordable,Compact
20100000.0,Under Construction,2002,10039,3 Bhk Apartment In Godrej Meridien,Sector 106,Signature Global,Approved By Rera,3,Godrej Meridien,Godrej,Apartment,2.01,Premium,Large
27200000.000000004,Under Construction,2567,10596,3 Bhk Apartment In Emaar Digi Homes,Sector 62,Signature Global,Approved By Rera,3,Emaar Digi Homes,Emaar,Apartment,2.72,Premium,Large
16000000.0,Ready to Move,3200,5000,4 Bhk Apartment In Emaar Gurgaon Greens,Sector 102,Signature Global,Not Approved By Rera,4,Emaar Gurgaon Greens,Emaar,Apartment,1.6,Mid Range,Ultra Large
2196000.0,Under Construction,707,3106,2 Bhk Apartment In Signature Global Orchard Avenue,Sector 93,Karshni Buildwell,Approved By Rera,2,Signature Global Orchard Avenue,Signature,Apartment,0.22,Affordable,Compact
14600000.0,Ready to Move,1930,7564,3 Bhk Apartment In Dlf The Skycourt,Sector 86,Karshni Buildwell,Not Approved By Rera,3,Dlf The Skycourt,DLF,Apartment,1.46,Mid Range,Medium
2082000.0,Under Construction,508,4098,2 Bhk Apartment In Mahira Homes 95,Sector 95,Karshni Buildwell,Approved By Rera,2,Mahira Homes 95,Mahira,Apartment,0.21,Affordable,Compact
2630000.0,Under Construction,645,4077,3 Bhk Apartment In Mahira Homes 95,Sector 95,Tarun Tanwar,Approved By Rera,3,Mahira Homes 95,Mahira,Apartment,0.26,Affordable,Compact
2630000.0,Under Construction,645,4077,3 Bhk Apartment In Mahira Homes 95,Sector 95,Karshni Buildwell,Approved By Rera,3,Mahira Homes 95,Mahira,Apartment,0.26,Affordable,Compact
2082000.0,Under Construction,508,4098,2 Bhk Apartment In Mahira Homes 95,Sector 95,Rainbow Homz,Approved By Rera,2,Mahira Homes 95,Mahira,Apartment,0.21,Affordable,Compact
2630000.0,Under Construction,645,4077,3 Bhk Apartment In Mahira Homes 95,Sector 95,Rainbow Homz,Approved By Rera,3,Mahira Homes 95,Mahira,Apartment,0.26,Affordable,Compact
2082000.0,Under Construction,508,4098,2 Bhk Apartment In Mahira Homes 95,Sector 95,Landscape Realtors,Approved By Rera,2,Mahira Homes 95,Mahira,Apartment,0.21,Affordable,Compact
2630000.0,Under Construction,645,4077,3 Bhk Apartment In Mahira Homes 95,Sector 95,Home,Approved By Rera,3,Mahira Homes 95,Mahira,Apartment,0.26,Affordable,Compact
2630000.0,Under Construction,645,4077,3 Bhk Apartment In Mahira Homes 95,Sector 95,Property In Gurgaon,Approved By Rera,3,Mahira Homes 95,Mahira,Apartment,0.26,Affordable,Compact
9100000.0,Ready to Move,2122,4288,3 Bhk Apartment In Eldeco Accolade,Sector 2 Sohna,Properties For Sale In Gurgaon,Not Approved By Rera,3,Eldeco Accolade,Eldeco,Apartment,0.91,Affordable,Large
2629000.0,Under Construction,645,4077,3 Bhk Apartment In Mahira Homes 95,Sector 95,Key 4 You,Approved By Rera,3,Mahira Homes 95,Mahira,Apartment,0.26,Affordable,Compact
37500000.0,Ready to Move,8159,4596,5 Bhk Apartment In Satya The Hermitage,Sector 103,Key 4 You,Not Approved By Rera,5,Satya The Hermitage,Satya,Apartment,3.75,Premium,Ultra Large
13200000.0,Ready to Move,2475,5350,4 Bhk Apartment In Conscient Heritage Max,Sector 102,Aman,Not Approved By Rera,4,Conscient Heritage Max,Conscient,Apartment,1.32,Mid Range,Large
10000000.0,Ready to Move,1870,5350,3 Bhk Apartment In Conscient Heritage Max,Sector 102,Team Realistic One Pvt Ltd,Not Approved By Rera,3,Conscient Heritage Max,Conscient,Apartment,1.0,Mid Range,Medium
11100000.000000002,Ready to Move,2075,5350,3 Bhk Apartment In Conscient Heritage Max,Sector 102,Truvisory Infratech,Not Approved By Rera,3,Conscient Heritage Max,Conscient,Apartment,1.11,Mid Range,Large
10000000.0,Ready to Move,1880,5350,3 Bhk Apartment In Conscient Heritage Max,Sector 102,Truvisory Infratech,Not Approved By Rera,3,Conscient Heritage Max,Conscient,Apartment,1.0,Mid Range,Medium
14800000.0,Ready to Move,2775,5350,4 Bhk Apartment In Conscient Heritage Max,Sector 102,Truvisory Infratech,Not Approved By Rera,4,Conscient Heritage Max,Conscient,Apartment,1.48,Mid Range,Large
6715000.000000001,Ready to Move,1342,5003,2 Bhk Apartment,Sector 77,Truvisory Infratech,Not Approved By Rera,2,Outside Socity,Outside,Plot,0.67,Affordable,Medium
85500000.0,Ready to Move,7400,11554,5 Bhk Apartment In Experion Windchants Villa,Sector 112,Truvisory Infratech,Not Approved By Rera,5,Experion W,Experion,Apartment,8.55,Luxury,Ultra Large
32600000.0,Ready to Move,2802,11634,3 Bhk Apartment In Experion Windchants,Sector 112,Truvisory Infratech,Not Approved By Rera,3,Experion W,Experion,Apartment,3.26,Premium,Large
31200000.0,Ready to Move,2882,10825,3 Bhk Apartment In M3M Golf Estate,Sector 65,Growmax Wealth Management Services,Not Approved By Rera,3,M3M Golf Estate,M3M,Apartment,3.12,Premium,Large
40000000.0,Ready to Move,3799,10529,3 Bhk Apartment In M3M Golf Estate,Sector 65,Growmax Wealth Management Services,Not Approved By Rera,3,M3M Golf Estate,M3M,Apartment,4.0,Premium,Ultra Large
22500000.0,Ready to Move,3461,6525,4 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Growmax Wealth Management Services,Not Approved By Rera,4,Bptp Amstoria Country Floor,BPTP,Apartment,2.25,Premium,Ultra Large
13799999.999999998,Ready to Move,2147,6447,3 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Wakefield Buildwell Pvt Ltd,Not Approved By Rera,3,Bptp Amstoria Country Floor,BPTP,Apartment,1.38,Mid Range,Large
18700000.0,Ready to Move,2922,6428,4 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Wakefield Buildwell Pvt Ltd,Not Approved By Rera,4,Bptp Amstoria Country Floor,BPTP,Apartment,1.87,Mid Range,Large
37200000.0,Ready to Move,5709,6525,4 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Truvisory Infratech,Not Approved By Rera,4,Bptp Amstoria Country Floor,BPTP,Apartment,3.72,Premium,Ultra Large
19700000.0,Ready to Move,2833,6964,3 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Truvisory Infratech,Not Approved By Rera,3,Bptp Amstoria Country Floor,BPTP,Apartment,1.97,Mid Range,Large
15300000.0,Ready to Move,2384,6447,3 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Truvisory Infratech,Not Approved By Rera,3,Bptp Amstoria Country Floor,BPTP,Apartment,1.53,Mid Range,Large
22700000.0,Ready to Move,3480,6525,4 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Truvisory Infratech,Not Approved By Rera,4,Bptp Amstoria Country Floor,BPTP,Apartment,2.27,Premium,Ultra Large
12800000.0,Ready to Move,1999,6447,3 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Truvisory Infratech,Not Approved By Rera,3,Bptp Amstoria Country Floor,BPTP,Apartment,1.28,Mid Range,Medium
24000000.0,Ready to Move,3693,6525,4 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Truvisory Infratech,Not Approved By Rera,4,Bptp Amstoria Country Floor,BPTP,Apartment,2.4,Premium,Ultra Large
23200000.0,Ready to Move,3560,6525,4 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Truvisory Infratech,Not Approved By Rera,4,Bptp Amstoria Country Floor,BPTP,Apartment,2.32,Premium,Ultra Large
35000000.0,Ready to Move,5374,6525,4 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Truvisory Infratech,Not Approved By Rera,4,Bptp Amstoria Country Floor,BPTP,Apartment,3.5,Premium,Ultra Large
16700000.0,Ready to Move,2877,5818,4 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Truvisory Infratech,Not Approved By Rera,4,Bptp Amstoria Country Floor,BPTP,Apartment,1.67,Mid Range,Large
20000000.0,Ready to Move,2873,6964,4 Bhk Apartment In Bptp Amstoria Country Floor,Sector 102,Truvisory Infratech,Not Approved By Rera,4,Bptp Amstoria Country Floor,BPTP,Apartment,2.0,Premium,Large
16900000.0,Ready to Move,1890,8941,3 Bhk Apartment In Conscient Heritage One,Sector 62,Truvisory Infratech,Not Approved By Rera,3,Conscient Heritage One,Conscient,Apartment,1.69,Mid Range,Medium
19500000.0,Ready to Move,2390,8158,4 Bhk Apartment In Conscient Heritage One,Sector 62,Truvisory Infratech,Not Approved By Rera,4,Conscient Heritage One,Conscient,Apartment,1.95,Mid Range,Large
11500000.0,Ready to Move,1300,8846,2 Bhk Apartment In Pioneer Park Ph 1,Sector 61,Truvisory Infratech,Not Approved By Rera,2,Pioneer Park Ph 1,Pioneer,Apartment,1.15,Mid Range,Medium
14500000.0,Ready to Move,1800,8055,3 Bhk Apartment In New Door Sushan A2 A24,Sector 43,Sharmasandeep2112,Not Approved By Rera,3,New Door Sushan A2 A24,New,Apartment,1.45,Mid Range,Medium
33100000.0,Ready to Move,4632,7149,4 Bhk Apartment In Spaze Privy,Sector 72,Sharmasandeep2112,Not Approved By Rera,4,Spaze Privy,Spaze,Apartment,3.31,Premium,Ultra Large
33100000.0,Ready to Move,4632,7149,4 Bhk Apartment In Spaze Privy,Sector 72,Ankur Estate,Not Approved By Rera,4,Spaze Privy,Spaze,Apartment,3.31,Premium,Ultra Large
2314000.0,Under Construction,643,3600,3 Bhk Apartment In Gls Arawali Homes 2,Sector 4 Sohna,Truvisory Infratech,Approved By Rera,3,Gls Arawali Homes 2,GLS,Apartment,0.23,Affordable,Compact
2322000.0,Under Construction,645,3600,3 Bhk Apartment In Gls Arawali Homes 2,Sector 4 Sohna,Spaze Group,Approved By Rera,3,Gls Arawali Homes 2,GLS,Apartment,0.23,Affordable,Compact
15000000.0,Ready to Move,1700,8823,3 Bhk Apartment In Puri Diplomatic Greens,Sector 110A,Stpl,Not Approved By Rera,3,Puri Diplomatic Greens,Puri,Apartment,1.5,Mid Range,Medium
39500000.0,Ready to Move,3854,10249,4 Bhk Villa In Sobha International City,Sector 109,Home,Not Approved By Rera,4,Sobha International City,Sobha,Villa,3.95,Premium,Ultra Large
9666000.0,Under Construction,1359,7112,2 Bhk Apartment In Shapoorji Pallonji Joyville,Sector 102,Property In Gurgaon,Approved By Rera,2,Shapoorji Pallonji Joyville,Shapoorji,Apartment,0.97,Affordable,Medium
33100000.0,Ready to Move,4632,7149,4 Bhk Apartment In Spaze Privy,Sector 72,Properties For Sale In Gurgaon,Not Approved By Rera,4,Spaze Privy,Spaze,Apartment,3.31,Premium,Ultra Large
14600000.0,Ready to Move,1930,7564,3 Bhk Apartment In Dlf The Skycourt,Sector 86,A Friend Reality,Not Approved By Rera,3,Dlf The Skycourt,DLF,Apartment,1.46,Mid Range,Medium
9666000.0,Under Construction,1359,7112,2 Bhk Apartment In Shapoorji Pallonji Joyville,Sector 102,Growmax Wealth Management Services,Approved By Rera,2,Shapoorji Pallonji Joyville,Shapoorji,Apartment,0.97,Affordable,Medium
9666000.0,Under Construction,1359,7112,2 Bhk Apartment In Shapoorji Pallonji Joyville,Sector 102,Spaze Towers P Limited,Approved By Rera,2,Shapoorji Pallonji Joyville,Shapoorji,Apartment,0.97,Affordable,Medium
9699000.0,Under Construction,1389,6982,3 Bhk Apartment In Hero Homes Gurgaon,Sector 104,Karshnigroup,Approved By Rera,3,Hero Homes Gurgaon,Hero,Apartment,0.97,Affordable,Medium
16600000.0,Ready to Move,2103,7893,3 Bhk Apartment In Dlf The Ultima,Sector 81,Growmax Wealth Management Services,Not Approved By Rera,3,Dlf The Ultima,DLF,Apartment,1.66,Mid Range,Large
24000000.0,Ready to Move,2831,8477,4 Bhk Apartment In Dlf The Ultima,Sector 81,Growmax Wealth Management Services,Not Approved By Rera,4,Dlf The Ultima,DLF,Apartment,2.4,Premium,Large
15000000.0,Ready to Move,1930,7772,3 Bhk Apartment In Dlf The Ultima,Sector 81,Growmax Wealth Management Services,Not Approved By Rera,3,Dlf The Ultima,DLF,Apartment,1.5,Mid Range,Medium
21000000.0,Ready to Move,4518,4648,4 Bhk Independent Floor,Palam Vihar,Realty Expert,Not Approved By Rera,4,Outside Socity,Outside,Plot,2.1,Premium,Ultra Large
15600000.0,Ready to Move,2350,6669,3 Bhk Apartment In Aipl The Peaceful Homes,Sector 70A,Realty Expert,Not Approved By Rera,3,Aipl The Peaceful Homes,AIPL,Apartment,1.56,Mid Range,Large
14300000.0,Ready to Move,2150,6669,3 Bhk Apartment In Aipl The Peaceful Homes,Sector 70A,Realty Expert,Not Approved By Rera,3,Aipl The Peaceful Homes,AIPL,Apartment,1.43,Mid Range,Large
19500000.0,Ready to Move,2925,6669,4 Bhk Apartment In Aipl The Peaceful Homes,Sector 70A,Dharmender Saini,Not Approved By Rera,4,Aipl The Peaceful Homes,AIPL,Apartment,1.95,Mid Range,Large
11399999.999999998,Ready to Move,1719,6669,2 Bhk Apartment In Aipl The Peaceful Homes,Sector 70A,Truvisory Infratech,Not Approved By Rera,2,Aipl The Peaceful Homes,AIPL,Apartment,1.14,Mid Range,Medium
10400000.0,Ready to Move,1565,6669,2 Bhk Apartment In Aipl The Peaceful Homes,Sector 70A,Truvisory Infratech,Not Approved By Rera,2,Aipl The Peaceful Homes,AIPL,Apartment,1.04,Mid Range,Medium
16500000.0,Ready to Move,2475,6669,3 Bhk Apartment In Aipl The Peaceful Homes,Sector 70A,Truvisory Infratech,Not Approved By Rera,3,Aipl The Peaceful Homes,AIPL,Apartment,1.65,Mid Range,Large
9900000.0,Ready to Move,2000,4950,3 Bhk Apartment In Satya The Hermitage,Sector 103,Truvisory Infratech,Not Approved By Rera,3,Satya The Hermitage,Satya,Apartment,0.99,Affordable,Large
12100000.0,Ready to Move,2637,4588,4 Bhk Apartment In Satya The Hermitage,Sector 103,Truvisory Infratech,Not Approved By Rera,4,Satya The Hermitage,Satya,Apartment,1.21,Mid Range,Large
21500000.0,Ready to Move,4715,4560,5 Bhk Apartment In Satya The Hermitage,Sector 103,Truvisory Infratech,Not Approved By Rera,5,Satya The Hermitage,Satya,Apartment,2.15,Premium,Ultra Large
21500000.0,Ready to Move,4715,4560,4 Bhk Apartment In Satya The Hermitage,Sector 103,Home,Not Approved By Rera,4,Satya The Hermitage,Satya,Apartment,2.15,Premium,Ultra Large
1985000.0,Ready to Move,584,3400,2 Bhk Apartment In Pivotal Devaan,Sector 84,Property In Gurgaon,Not Approved By Rera,2,Pivotal Devaan,Pivotal,Apartment,0.2,Affordable,Compact
1982000.0,Ready to Move,583,3400,2 Bhk Apartment In Pivotal Devaan,Sector 84,Properties For Sale In Gurgaon,Not Approved By Rera,2,Pivotal Devaan,Pivotal,Apartment,0.2,Affordable,Compact
11299999.999999998,Ready to Move,1228,9201,3 Bhk Apartment In Emaar Imperial Gardens,Sector 102,Truvisory Infratech,Not Approved By Rera,3,Emaar Imperial Gardens,Emaar,Apartment,1.13,Mid Range,Medium
1952000.0,Under Construction,488,4000,2 Bhk Apartment In Agrante Kavyam Homes,Sector 108,Truvisory Infratech,Approved By Rera,2,Agrante Kavyam Homes,Agrante,Apartment,0.2,Affordable,Compact
2048000.0,Under Construction,512,4000,2 Bhk Apartment In Agrante Kavyam Homes,Sector 108,Truvisory Infratech,Approved By Rera,2,Agrante Kavyam Homes,Agrante,Apartment,0.2,Affordable,Compact
